time_window,kmeans_cluster,dbscan_cluster,embed_x,embed_y,n_sensors_present,n_readings
2025-07-27 23:48:00+00:00,7,0,-3.21565,7.172293,3,3.0
2025-07-27 23:57:00+00:00,7,0,-3.2329233,7.1635547,3,3.0
2025-07-28 00:06:00+00:00,7,0,-3.1736155,7.2261724,3,3.0
2025-07-28 00:15:00+00:00,7,0,-3.078331,7.328422,3,3.0
2025-07-28 01:42:00+00:00,7,0,-3.1021624,7.295018,4,60.0
2025-07-28 01:45:00+00:00,7,0,-3.3618104,6.979431,6,592.0
2025-07-28 01:48:00+00:00,8,1,5.350464,1.9309311,6,596.0
2025-07-28 01:51:00+00:00,8,2,5.012183,2.5822568,6,533.0
2025-07-28 01:54:00+00:00,8,1,5.330367,1.9093677,6,604.0
2025-07-28 01:57:00+00:00,8,1,5.4062977,2.0727236,6,592.0
2025-07-28 02:00:00+00:00,8,2,5.1592712,2.3973541,6,569.0
2025-07-28 02:03:00+00:00,8,1,5.3712015,1.9182094,6,624.0
2025-07-28 02:06:00+00:00,8,2,5.0867343,2.4463427,6,580.0
2025-07-28 02:09:00+00:00,8,1,5.264972,1.8868493,9,570.0
2025-07-28 02:12:00+00:00,12,3,9.64112,1.4428862,9,603.0
2025-07-28 02:15:00+00:00,12,3,9.598219,1.4659553,6,550.0
2025-07-28 02:18:00+00:00,13,4,8.010191,4.457159,9,25.0
2025-07-28 02:21:00+00:00,13,4,7.89398,4.448709,3,3.0
2025-07-28 02:27:00+00:00,13,4,7.9018154,4.3608623,3,6.0
2025-07-28 02:33:00+00:00,13,4,8.000268,4.834648,3,6.0
2025-07-28 02:39:00+00:00,13,4,7.985296,4.5194263,3,6.0
2025-07-28 03:06:00+00:00,3,-1,7.1222496,5.907118,3,6.0
2025-07-28 03:15:00+00:00,10,5,6.9734735,6.316338,3,6.0
2025-07-28 03:24:00+00:00,1,5,6.7707953,6.153306,3,6.0
2025-07-28 03:33:00+00:00,1,5,6.7500114,6.4059467,3,6.0
2025-07-28 04:03:00+00:00,1,6,6.3533425,6.9239755,4,42.0
2025-07-28 04:06:00+00:00,1,6,6.4507275,6.7652845,6,588.0
2025-07-28 04:09:00+00:00,6,7,9.78254,-0.18592831,6,598.0
2025-07-28 04:12:00+00:00,3,4,7.696629,5.6260486,6,558.0
2025-07-28 04:15:00+00:00,6,7,9.859538,-0.16586319,6,616.0
2025-07-28 04:18:00+00:00,3,3,9.33361,2.0432742,6,606.0
2025-07-28 04:21:00+00:00,3,4,7.9832253,5.5066524,6,531.0
2025-07-28 04:24:00+00:00,6,7,10.01976,0.014687979,6,616.0
2025-07-28 04:27:00+00:00,3,4,8.034128,5.435953,6,572.0
2025-07-28 04:30:00+00:00,6,7,9.991016,-0.38187218,6,580.0
2025-07-28 04:33:00+00:00,3,3,9.347365,1.9692419,6,598.0
2025-07-28 04:36:00+00:00,3,3,9.250704,2.3862982,6,569.0
2025-07-28 04:39:00+00:00,3,4,7.953748,5.4098186,6,578.0
2025-07-28 04:42:00+00:00,6,7,9.882655,-0.62883025,6,578.0
2025-07-28 04:45:00+00:00,13,4,8.154902,5.181625,6,550.0
2025-07-28 05:00:00+00:00,1,6,6.448982,6.748345,6,306.0
2025-07-28 05:03:00+00:00,6,7,9.740019,-0.22373939,6,618.0
2025-07-28 05:06:00+00:00,3,4,7.930586,5.40516,6,590.0
2025-07-28 05:09:00+00:00,6,7,9.88049,-0.6483785,6,564.0
2025-07-28 05:12:00+00:00,3,3,9.408438,1.7748505,6,608.0
2025-07-28 05:15:00+00:00,3,4,8.240933,5.698509,6,558.0
2025-07-28 05:18:00+00:00,6,7,9.875186,-0.6442233,6,504.0
2025-07-28 05:21:00+00:00,3,3,9.39753,1.7874869,6,608.0
2025-07-28 05:24:00+00:00,3,4,8.026695,5.5095754,6,598.0
2025-07-28 05:27:00+00:00,6,7,9.942323,-0.71468025,6,575.0
2025-07-28 05:30:00+00:00,3,3,9.4452305,1.7460499,6,608.0
