dbscan_cluster,ambient,current,head,humidity,pos1,pos2,pos3,power,temperature,weight,n_windows
-1,28.07,3.87,57.42,53.98,12.98,4.25,10.79,840.43,29.03,0.28,13
0,25.96,4.04,25.43,62.56,3.0,2.75,3.75,876.48,25.62,1.02,4
1,31.79,2.52,72.38,48.65,16.61,2.91,7.15,552.84,33.01,1.02,3
2,31.97,3.53,78.01,47.79,15.2,3.16,7.59,761.52,33.68,1.02,5
3,26.84,4.18,43.76,57.58,16.84,11.86,13.73,913.21,26.89,1.01,8
4,31.87,2.4,66.61,47.08,15.08,10.07,17.39,523.37,32.5,1.02,9
5,32.36,3.48,74.04,46.79,15.41,10.07,17.1,752.24,32.91,1.02,5
6,25.96,4.3,33.06,60.36,6.3,4.49,25.66,939.18,25.41,0.65,4
7,30.66,2.92,69.76,49.08,4.64,5.37,23.48,634.38,31.71,0.86,11
8,31.09,4.02,71.0,48.95,4.63,5.36,23.48,874.88,31.64,0.86,3
9,22.44,0.26,23.52,62.98,16.45,11.71,15.65,45.3,22.14,0.75,3
10,22.42,0.25,23.37,63.02,8.32,4.16,6.35,43.8,22.11,-1.32,4
11,22.42,0.25,23.4,63.01,15.56,1.39,23.16,44.05,22.11,0.66,3
12,29.24,2.67,64.57,47.21,5.54,0.07,0.18,583.9,30.5,-1.12,7
13,29.62,3.45,69.49,46.89,5.54,0.07,0.18,742.63,30.64,-1.12,5
