activity_clean,next_activity,count,median,mean,max
Get the Plug Data,Get the Plug Data,106376,0.02506,0.09783193086786494,4.122969
Get the Environment Data,Get the Environment Data,104782,0.025116,0.07432018622473326,4.037689
external,Get the Environment Data,39684,0.014837,0.023160293745590164,1.954615
Get the Environment Data,Get the Plug Data,36849,0.027895,0.030491379141903443,1.098085
Get the Plug Data,Wait 2 seconds,20585,2.025792,2.1236551815399562,6.85369
Wait 2 seconds,external,19978,0.02837,0.05065335163680048,4.015999
Sleep 1 Second,external,15149,0.027918,0.19475935223447094,2.044234
Get the Plug Data,Sleep 1 Second,13959,1.025199,1.0269416632996633,5.697733
external,external,10449,0.005911,24.363048355440714,165570.002899
Move down,Move down,7395,0.013289,0.9592456075726842,52.164829
weigh_touch,weigh_touch,7390,0.02966,0.5457509649526388,6.352424
Get the Environment Data,external,4760,0.022951,0.04465338088235294,2.044721
Move down until touch,Move down until touch,3666,0.05502,3.452395641571195,182.854458
Get the Plug Data,Run until CC Head is optimally cooled,3217,0.982332,0.921185483369599,2.017613
Get the Plug Data,external,2925,0.027101,0.10277989777777777,3.828076
Run until CC Head is optimally cooled,Get the Environment Data,2742,0.0078155,0.0164714704595186,1.258831
weigh_touch,external,2466,0.0238955,0.15157376277372261,6.048204
Move down,weigh_touch,2464,0.033037,0.03520063758116883,0.075007
external,Get the Plug Data,2394,0.003816,0.017214487886382624,1.024869
Run until CC Head is optimally cooled,Get the Plug Data,2201,0.017246,0.015200577010449797,1.033964
external,Run until CC Head is optimally cooled,2198,1.013772,0.9678954272065515,2.041359
external,Move down,1940,0.0150325,0.01714513144329897,1.165583
Get the Environment Data,Run until CC Head is optimally cooled,1676,0.9908239999999999,0.7777425542959427,1.994916
Run until CC Head is optimally cooled,external,1425,0.023877,0.09880363228070176,2.023327
Call The Cottonbot with Data Collection,Call The Cottonbot with Data Collection,1234,0.1283695,66.9158351458671,2119.261644
Run until CC Head is optimally cooled,Sleep 1 Second,1046,1.0177325,1.0224936195028682,2.055065
Call weigh_max,Call weigh_max,949,0.001492,0.03183478714436249,4.268833
Move down and get function,Move down and get function,899,0.006976,1.1655323637374861,6.594795
Get the Plug Data,Run until CC Head is optimally warm,828,0.9897119999999999,0.9275012946859904,1.974511
Get the Plug Data,Wait until Head is optimally warm,781,0.980135,0.9118487234314981,2.984873
Wait until Head is optimally warm,Get the Environment Data,769,0.015366,0.014505568270481146,0.059521
Measure the pressure of the three sides of the cotton candy,Measure the pressure of the three sides of the cotton candy,670,0.008414999999999999,0.07671525820895522,2.097096
external,Sleep 1 Second,650,0.09999,0.49760015538461533,1.025898
Move down and get function,Call weigh_max,628,1.303404,1.451621729299363,6.427041
external,Wait until Head is optimally warm,609,1.013511,0.9696862545155994,2.047132
Wait until Head is optimally warm,Get the Plug Data,596,0.0182625,0.014775689597315438,0.055317
Measure the size of the Cotton Candy,Measure the size of the Cotton Candy,591,0.010387,0.09109409475465313,2.521018
Call weigh_max,Move down and get function,584,0.00157,0.2136813184931507,6.425923
Initialize Count,Initialize Count,525,0.000414,0.0027139714285714283,0.472076
Initialize Count,Move down,525,0.046709,0.050737809523809525,0.558781
external,Initialize Count,525,0.022937,0.2426698819047619,5.205482
Run until CC Head is optimally warm,Get the Environment Data,511,0.019272,0.017466131115459884,1.017174
Call weigh_max,external,507,0.016392,0.017887972386587774,0.043642
Run until CC Head is optimally warm,Get the Plug Data,495,0.019244,0.019850157575757574,1.077102
CC_weight,CC_weight,495,0.029758,0.5809973272727273,6.517849
Get the Environment Data,Wait until Head is optimally warm,464,0.990911,0.7941209353448275,2.009746
external,Run until CC Head is optimally warm,416,1.0136115,0.9601949086538462,2.002358
Sleep 1 Second,Run until CC Head is optimally cooled,391,1.014689,1.0174713529411765,1.334969
Wait until Head is optimally warm,external,372,0.023523000000000002,0.11485409139784945,2.044884
Init Frame,Init Frame,352,0.018397999999999998,0.10109218465909091,2.030431
Move to Position 1,Move to Position 1,352,1.218289,4.40514715625,12.991302
Show Header,Show Header,350,0.01349,0.019240437142857142,1.974188
Clear,Clear,350,0.014296,0.03683932857142857,2.005613
Move to Position 2,Move to Position 2,350,1.1245185,3.062401911428571,8.636793
Move to Position 3,Move to Position 3,348,1.0988905,3.0440231695402296,7.084254
Weigh the whole Cotton Candy,Weigh the whole Cotton Candy,346,0.009038000000000001,0.07962123699421965,2.544176
Move to final position,Move to final position,340,1.0806135000000001,3.235300547058823,7.418337
Move to Position 5,Move to Position 5,340,1.1703485,2.425252185294118,10.137331
Move to position 4,Move to position 4,340,1.1056469999999998,3.1620225235294117,7.16197
